scenario,repeat,model,provider_tool,mcp_tool,tool_call_count,argument_hash,response_hash,request_id_hash,prompt_tokens,completion_tokens,total_tokens,latency_ms
normal_authorized,1,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,b89f60ba5857eedde2810a762db0511b71678f5d287117378317837c2ff4a921,f1f3289d842df02a7b32d092121a428c062d4233368722f5d624b36b78c8019c,161,20,181,2346.095
normal_authorized,2,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,6eedd8cef02aa22a5fcdb413e88583f39257bcd0e8d46b7dc0ef0a559742e8a1,e972d6c53837f54ee0f5b8e7af50547a4df82bd607024584f076830dc7e7a109,161,20,181,1450.742
normal_authorized,3,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,20cd1ce86cede6ad331bc698356dcfdb09c209e5a334852899303ff0f7d5dcf5,d9b87c4e26b25b78325ecc58796a5b361825a9c4acc692a02c5cf01e6de06041,161,20,181,1427.721
normal_authorized,4,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,2bd363120190591ebf52d903f640e131088b5ab24ae0c827f622e6c9325389c1,b656a03d75dbd74556a1179b65d3586f19233350793ecfaa418c86eef68c25d2,161,20,181,1425.695
normal_authorized,5,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,613b7da318dc1b832e208e0244d1ec23e5abf10b6d860c38da0453fea9ec657b,5cd884f6c1820a2082e903c256979eb0f223cb6669c0e4a9f742a8a2dd8a0673,161,20,181,1454.685
normal_authorized,6,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,68507255e4c8a13247e9689b772b972cc7fd42402727f60fcdc51c96fa5070ba,263422a408718f3d9b43220b3473f084b220c3fe45ad986d3e58682f29e785ee,161,20,181,817.2
normal_authorized,7,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,340634700c47b9b671a216d49b3d4211d764f6e7ae9cfb73a1b7a3b25b5b0f8d,6a0943147395c42b0b9fd234c9e55fa854ec91d9b2ebd79fb47b8db14c8981fb,161,20,181,922.241
normal_authorized,8,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,faac4f3bc3617afa1c4ac9731c1d515acf8ec5723e81f3178b4c56120262faee,59e4478019bf49f74d02e98c2d7f2db57ad226776db60389f54559b4b40d405f,161,20,181,749.72
normal_authorized,9,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,ca0f4c48d5a5977b89709495b81aa00bd58f93045f77d1d45ebacaf3aaebd2d2,83db77bdd70ea8fd8c097f01f6be4e5d8ce1d9580a758d8beff48a789cad6a94,161,20,181,857.686
normal_authorized,10,openai/gpt-4o-mini,ledger_record_push,ledger.record_push,1,a5bd44bb9c40261a5154127ab64f2eb5305afd1fd0c78f8449106571606c7d85,d4b116e35fc58b802009971209436eb3512373c4fb9576b0a1b7b1ab723548a0,78980c453feab269524bdf97f39cc50663818e94db8826687a446f75ff5ede66,161,20,181,975.744
post_admission_tool_escalation,1,openai/gpt-4o-mini,secret_read,secret.read,1,164abcb14a22189cf9804ecaf686199f4b142b157e3a28c2bdd1556864eb9a48,27d77a76218c29f3d76a545a12db056d7e0a42bad1a2c5dcfd2e4e27925f21c2,f01148ffa058406ab30fcaf44e9f0a9a26369152f3d1db10a3e634ec3f8ca531,171,20,191,923.898
